Domain,date
HM Domain Registry,2026-05-07
Red de Desarrollo Sostenible Honduras,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Home Depot Product Authority, LLC",2026-05-07
"The TJX Companies, Inc.",2026-05-07
XYZ.COM LLC,2026-05-07
"The TJX Companies, Inc.",2026-05-07
"Honda Motor Co., Ltd.",2026-05-07
Not assigned,2026-05-07
"Registry Services, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Radix Technologies Inc.,2026-05-07
XYZ.COM LLC,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Not assigned,2026-05-07
Booking.com B.V.,2026-05-07
Microsoft Corporation,2026-05-07
"Binky Moon, LLC",2026-05-07
Charleston Road Registry Inc.,2026-05-07
CARNet - Croatian Academic and Research Network,2026-05-07
HSBC Global Services (UK) Limited,2026-05-07
Consortium FDS/RDDH,2026-05-07
Not assigned,2026-05-07
Council of Hungarian Internet Providers (CHIP),2026-05-07
Hughes Satellite Systems Corporation,2026-05-07
"Hyatt GTLD, L.L.C.",2026-05-07
Hyundai Motor Company,2026-05-07
International Business Machines Corporation,2026-05-07
Industrial and Commercial Bank of China Limited,2026-05-07
"IntercontinentalExchange, Inc.",2026-05-07
Shortdot SA,2026-05-07
Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI),2026-05-07
"University College Dublin, Computing Services, Computer Centre",2026-05-07
IEEE Global LLC,2026-05-07
ifm electronic gmbh,2026-05-07
Not assigned,2026-05-07
Ikano S.A.,2026-05-07
The Israel Internet Association (RA),2026-05-07
Isle of Man Government,2026-05-07
Fondation Aga Khan (Aga Khan Foundation),2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
National Internet Exchange of India,2026-05-07
Intercap Registry Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
"NISSAN MOTOR CO., LTD.",2026-05-07
Identity Digital Limited,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Registry Services, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
fTLD Registry Services LLC,2026-05-07
"Binky Moon, LLC",2026-05-07
Internet Assigned Numbers Authority,2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
"Intuit Administrative Services, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
Internet Computer Bureau Limited,2026-05-07
Ipiranga Produtos de Petroleo S.A.,2026-05-07
Communications and Media Commission (CMC),2026-05-07
Institute for Research in Fundamental Sciences,2026-05-07
"Binky Moon, LLC",2026-05-07
ISNIC - Internet á Íslandi hf.,2026-05-07
Not assigned,2026-05-07
Fondation Aga Khan (Aga Khan Foundation),2026-05-07
Istanbul Metropolitan Municipality,2026-05-07
Istanbul Metropolitan Municipality,2026-05-07
IIT - CNR,2026-05-07
Itau Unibanco Holding S.A.,2026-05-07
ITV Services Limited,2026-05-07
